"filename", "language", "C++", "CMake", "GLSL", "comment", "blank", "total"
"/Users/user/Documents/Uczelnia/__Licencjat/Data/Shaders/Grayscale.fs", "GLSL", 0, 0, -11, 0, -3, -14
"/Users/user/Documents/Uczelnia/__Licencjat/Data/Shaders/Grayscale.vs", "GLSL", 0, 0, -13, 0, -3, -16
"/Users/user/Documents/Uczelnia/__Licencjat/Data/Shaders/RandColor.fs", "GLSL", 0, 0, -17, 0, -5, -22
"/Users/user/Documents/Uczelnia/__Licencjat/Data/Shaders/RandColor.vs", "GLSL", 0, 0, -13, 0, -3, -16
"/Users/user/Documents/Uczelnia/__Licencjat/Data/Shaders/perlin.fs", "GLSL", 0, 0, -47, -6, -16, -69
"/Users/user/Documents/Uczelnia/__Licencjat/Data/Shaders/perlin.vs", "GLSL", 0, 0, -15, 0, -4, -19
"/Users/user/Documents/Uczelnia/__Licencjat/Source/CMakeLists.txt", "CMake", 0, 18, 0, 0, 5, 23
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Context.h", "C++", 25, 0, 0, 0, 2, 27
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game.cpp", "C++", 200, 0, 0, 11, 18, 229
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game.h", "C++", 65, 0, 0, 1, 12, 78
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Component.h", "C++", 23, 0, 0, 0, 3, 26
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Components/CameraMoveComponent.hpp", "C++", 50, 0, 0, 0, 4, 54
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Components/ColliderComponent.hpp", "C++", 34, 0, 0, 0, 1, 35
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Components/CollisionBehaviorComponent.hpp", "C++", 0, 0, 0, 0, 1, 1
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Components/MapComponent.hpp", "C++", 51, 0, 0, 0, 7, 58
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Components/PerlinPlateComponent.hpp", "C++", 111, 0, 0, 0, 7, 118
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Components/SpriteComponent.hpp", "C++", 42, 0, 0, 0, 2, 44
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Entity.cpp", "C++", 98, 0, 0, 0, 16, 114
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Entity.h", "C++", 47, 0, 0, 0, 7, 54
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Level.cpp", "C++", 15, 0, 0, 0, 3, 18
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Level.h", "C++", 19, 0, 0, 0, 1, 20
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/LevelManager.cpp", "C++", 8, 0, 0, 0, 1, 9
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/LevelManager.h", "C++", 12, 0, 0, 0, 1, 13
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/Map/MapFunction.hpp", "C++", 22, 0, 0, 0, 6, 28
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/World.cpp", "C++", 83, 0, 0, 11, 10, 104
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/World.h", "C++", 21, 0, 0, 1, 3, 25
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/WorldManager.cpp", "C++", 8, 0, 0, 0, 2, 10
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Game/WorldManager.h", "C++", 14, 0, 0, 0, 2, 16
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Input/Input.cpp", "C++", 41, 0, 0, 0, 5, 46
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Input/Input.h", "C++", 18, 0, 0, 0, 2, 20
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Input/InputCodes.h", "C++", 114, 0, 0, 0, 4, 118
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Main.cpp", "C++", 8, 0, 0, 0, 4, 12
"/Users/user/Documents/Uczelnia/__Licencjat/Source/MathLib/MathLib.h", "C++", 2, 0, 0, 0, 1, 3
"/Users/user/Documents/Uczelnia/__Licencjat/Source/MathLib/Vector/VectorOperations.hpp", "C++", 16, 0, 0, 0, 2, 18
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Physics/Body.cpp", "C++", 152, 0, 0, 0, 13, 165
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Physics/Body.h", "C++", 52, 0, 0, 0, 8, 60
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Sources.cmake", "CMake", 0, 48, 0, 0, 11, 59
"/Users/user/Documents/Uczelnia/__Licencjat/Source/UserGame.hpp", "C++", 39, 0, 0, 0, 3, 42
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Visuals/AnimatedSprite.cpp", "C++", 67, 0, 0, 0, 6, 73
"/Users/user/Documents/Uczelnia/__Licencjat/Source/Visuals/AnimatedSprite.h", "C++", 44, 0, 0, 0, 2, 46
"Total", "-", 1501, 66, -116, 18, 141, 1610
